,Player_Id,Player,Assists,Shifts,BLOCK,GOAL (BACKHAND),GOAL (DEFLECTED),GOAL (SLAP SHOT),GOAL (SNAP SHOT),GOAL (TIP-IN),GOAL (WRAP-AROUND),GOAL (WRIST SHOT),HIT,PENL (FIGHTING),PENL (OTHER)
0,8465009,ZDENO CHARA,12.0,1730,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,125.0,6.0,20.0
1,8466138,JOE THORNTON,5.0,530,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,20.0,0.0,5.0
2,8469455,JASON SPEZZA,14.0,1208,24.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,39.0,0.0,14.0
3,8470281,DUNCAN KEITH,24.0,1920,143.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,13.0
4,8470600,RYAN SUTER,28.0,2387,99.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,51.0,0.0,21.0
5,8470604,JEFF CARTER,27.0,1996,54.0,2.0,1.0,1.0,2.0,4.0,0.0,12.0,113.0,0.0,20.0
6,8470606,DUSTIN BROWN,21.0,1374,23.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,112.0,0.0,10.0
7,8470610,ZACH PARISE,20.0,1760,57.0,4.0,1.0,2.0,1.0,1.0,0.0,6.0,60.0,0.0,12.0
8,8470612,RYAN GETZLAF,34.0,1286,56.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,89.0,1.0,12.0
9,8470613,BRENT BURNS,44.0,2428,149.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,55.0,0.0,20.0
10,8470619,BRIAN BOYLE,12.0,1136,46.0,1.0,0.0,0.0,2.0,2.0,0.0,5.0,104.0,3.0,5.0
11,8470621,COREY PERRY,26.0,1785,39.0,2.0,0.0,0.0,2.0,5.0,0.0,14.0,95.0,2.0,28.0
12,8470626,LOUI ERIKSSON,16.0,1361,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,3.0
13,8470638,PATRICE BERGERON,44.0,1878,50.0,3.0,3.0,0.0,7.0,3.0,0.0,11.0,93.0,0.0,17.0
14,8470755,BRAD RICHARDSON,4.0,684,20.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,59.0,1.0,10.0
15,8470775,NATE THOMPSON,2.0,641,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,1.0,5.0
16,8470794,JOE PAVELSKI,57.0,2172,79.0,2.0,1.0,1.0,3.0,10.0,0.0,13.0,118.0,0.0,8.0
17,8470966,MARK GIORDANO,29.0,2139,151.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,81.0,1.0,22.0
18,8471214,ALEX OVECHKIN,45.0,1845,27.0,2.0,1.0,13.0,13.0,1.0,0.0,18.0,185.0,0.0,9.0
19,8471215,EVGENI MALKIN,25.0,1073,21.0,2.0,0.0,4.0,5.0,2.0,0.0,9.0,31.0,0.0,14.0
20,8471217,ANDREW LADD,5.0,988,33.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,68.0,2.0,15.0
21,8471218,BLAKE WHEELER,40.0,1437,37.0,1.0,3.0,2.0,0.0,2.0,0.0,9.0,61.0,0.0,17.0
22,8471228,ALEXANDER RADULOV,18.0,1320,50.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,45.0,0.0,15.0
23,8471260,BLAKE COMEAU,,118,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0
24,8471274,ALEX GOLIGOSKI,28.0,1715,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,62.0,0.0,18.0
